sintoma,especialidade
febre,clínico geral
palpitação,cardiologia
visão turva,oftalmologia
falta de ar,pneumologia
náusea,gastroenterologia
tontura,neurologia
insônia,psiquiatria
ansiedade,psiquiatria
erupção cutânea,dermatologia
cansaço,clínico geral
dor abdominal,gastroenterologia
tosse,pneumologia
dor de cabeça,neurologia
dor nas costas,ortopedia
coceira,dermatologia
rouquidão,otorrinolaringologia
artrite,reumatologia
azia,gastroenterologia
inchaço,clínico geral
diarreia,gastroenterologia
falta de apetite,nutrologia
convulsão,neurologia
alergia,dermatologia
queda de cabelo,dermatologia
tremor,neurologia
sinusite,otorrinolaringologia
depressão,psiquiatria
acne,dermatologia
vômito,gastroenterologia
perda de peso,nutrologia
dor no ombro,ortopedia
dor no joelho,ortopedia
hipertensão,cardiologia
hipotensão,cardiologia
zumbido,otorrinolaringologia
dificuldade para engolir,otorrinolaringologia
dor no pulso,ortopedia
infecção urinária,urologia
anemia,hematologia
hemorroida,proctologia
cãibra,ortopedia
urticária,dermatologia
desmaio,clínico geral
amigdalite,otorrinolaringologia
dor muscular,ortopedia
perda auditiva,otorrinolaringologia
pele seca,dermatologia
distúrbio do sono,psiquiatria
irritação na pele,dermatologia
formigamento,neurologia
infecção,pediatria
dispneia,pneumologia
fraqueza,clínico geral
distúrbio hormonal,endocrinologia
vermelhidão,dermatologia
aftas,odontologia
pele oleosa,dermatologia
incontinência,urologia
dor no quadril,ortopedia
nódulo,dermatologia
dor de dente,odontologia
mastigação dolorosa,odontologia
azia,gastroenterologia
dor no pescoço,ortopedia
fadiga,clínico geral
fome excessiva,nutrologia
sudorese,endocrinologia
tosse seca,pneumologia
dor no tornozelo,ortopedia
gengivite,odontologia
visão embaçada,oftalmologia
dor na coxa,ortopedia
ptose palpebral,oftalmologia
desconforto abdominal,gastroenterologia
palidez,hematologia
coordenação motora alterada,neurologia
espasmo,neurologia
dor nas pernas,ortopedia
olho seco,oftalmologia
dor na virilha,ortopedia
fraqueza muscular,neurologia
pele escamosa,dermatologia
vesículas,dermatologia
calafrios,clínico geral
caroço,dermatologia
infecção vaginal,ginecologia
perda de memória,neurologia
dor nas mãos,ortopedia
fotofobia,oftalmologia
constipação,gastroenterologia
rigidez articular,ortopedia
febre alta,clínico geral
estresse,psiquiatria
dor torácica,cardiologia
conjuntivite,oftalmologia
ganho de peso,nutrologia
poliúria,urologia
fadiga,nutrologia
rigidez,reumatologia
disúria,urologia
dispepsia,gastroenterologia
dor no calcanhar,ortopedia
dermatose,dermatologia
perda auditiva,otorrinolaringologia
bronquite,pneumologia
dor facial,otorrinolaringologia
dermatite,dermatologia
manchas na pele,dermatologia
enterite,gastroenterologia
dor nos dedos,ortopedia
rinite,otorrinolaringologia
mialgia,clínico geral
congestão nasal,otorrinolaringologia
cólica,gastroenterologia
odontalgia,odontologia
coxalgia,ortopedia
pneumonia,pneumologia
apatia,psiquiatria
arritmia,cardiologia
artralgia,reumatologia
edema facial,clínico geral
melasma,dermatologia
flatulência,gastroenterologia
distúrbio urinário,urologia
ardência,uroginecologia
sinusite,otorrinolaringologia
hiperatividade,pediatria
constipação intestinal,gastroenterologia
linfangite,ortopedia
dispepsia,gastroenterologia
alopécia,dermatologia
ferida,dermatologia
epigastralgia,gastroenterologia
fotofobia,oftalmologia
cãibra muscular,neurologia
edema de membros,cardiologia
enxaqueca,neurologia
espasmos musculares,ortopedia
rigidez articular,reumatologia
odinofagia,otorrinolaringologia
catarro,pneumologia
conjuntivite,oftalmologia
disfagia,gastroenterologia
fotofobia,neurologia
dislipidemia,endocrinologia
parestesia,neurologia
lipotimia,clínico geral
melanose,dermatologia
faringite,otorrinolaringologia
artralgia,reumatologia
laringite,otorrinolaringologia
